Canonical SMILES,Health,Fire,Reactivity,W,OX
C1=CC=C2C=C3C=CC=CC3=CC2=C1,1,1,0,0,0
C1=CC=C(C=C1)C(=O)O,1,1,0,0,0
C(#N)Br,1,0,1,0,0
C1=COC(=C1)CO,1,1,1,0,0
CC(=O)C=C,1,1,1,1,0
CC1=CCC2CC1C2(C)C,1,1,0,0,0
C1=CC=C(C(=C1)C=O)O,0,1,0,0,0
C1=CC(=CC(=C1)O)O,1,1,0,0,0
CCOP(=S)(C1=CC=CC=C1)OC2=CC=C(C=C2)[N+](=O)[O-],1,1,1,1,0
CBr,1,1,0,0,0
C1=CC(=C(C(=C1)O)O)O,1,0,0,0,0
CCN,1,1,0,0,0
CC(C)N,1,1,0,0,0
C=CF,1,1,1,1,0
CN(C)C,1,1,0,0,0
CN,1,1,0,0,0
C1COC1=O,0,1,0,0,0
C1CC1,1,1,0,0,0
CS,1,1,1,0,0
CCS,1,1,1,0,0
C1=CC(=CC=C1C(=O)O)C(=O)O,1,1,0,0,0
CC(=O)OC(C)(C)C,1,1,0,0,0
CC(C)(C)OO,1,1,1,0,0
C(COCCOCCOCCO)O,1,1,0,0,0
C(=C(F)F)(F)F,1,1,1,0,0
CCCCC=O,1,1,0,0,0
CC1=C(C=C(C=C1)N=C=O)N=C=O,1,1,1,1,0
CC1CCCC1,1,1,0,0,0
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,0,1,0,0,0
CCl,1,1,0,0,0
C1(=O)N(C(=O)N(C(=O)N1Cl)Cl)Cl,1,0,1,0,0
C(CO)N(CCO)CCO,1,1,0,0,0
CCN(CC)CC,1,1,0,0,0
C(COCCOCCO)O,1,1,0,0,0
CCOCCOCCOCCO,1,1,0,0,0
C1CCC(CC1)N,1,1,0,0,0
CCCCCCCCCCC1=CC=CC=C1,1,1,0,0,0
CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,1,1,0,0,0
C(CO)NCCO,1,1,0,0,0
CCOC(=O)OCC,1,1,1,0,0
CCOC(=O)C1=CC=CC=C1C(=O)OCC,1,1,0,0,0
CC(C)CCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC(C)C,0,1,0,0,0
CC(C)NC(C)C,1,1,0,0,0
COS(=O)(=O)OC,1,1,1,0,0
CNC,1,1,0,0,0
C1=CC=C(C=C1)OC2=CC=CC=C2,1,1,0,0,0
CCCCCCCCCCCCC1=CC=CC=C1,1,1,0,0,0
C(C(=O)O)Cl,1,1,0,0,0
CCCC(=O)O,1,1,0,0,0
CC,1,1,0,0,0
CCCCCCCCCCCCCCCCCC(=O)OCCCC,1,1,0,0,0
CCOC=O,1,1,0,0,0
CCCC,1,1,0,0,0
CC1(C2CCC1(C(C2)O)C)C,1,1,0,0,0
C(CC=O)CC=O,1,0,0,0,0
CC(=O)C1=CC=CC=C1,1,1,0,0,0
CC(C)(C#N)O,1,1,1,1,0
C1=CC=C(C=C1)C(=O)CCl,1,1,0,0,0
C([N+](=O)[O-])(Cl)(Cl)Cl,1,0,1,0,0
CC(=CCCC(=CC=O)C)C,1,1,0,0,0
COCCOCCOCCO,1,1,0,0,0
C(CNCCNCCN)N,1,1,0,0,0
COP(OC)OC,1,1,1,0,0
COC(=O)C1=CC=CC=C1N,1,1,0,0,0
CC(COC)O,1,1,0,0,0
C=CBr,1,0,1,0,0
COC=C,1,1,1,1,0
CC1=CC(=CC=C1)C=C,1,1,1,1,0
CCCBr,1,1,0,0,0
CCCCCCl,1,1,0,0,0
CCCCCCCCCCO,1,1,0,0,0
CCCCCCCCC=C,0,1,0,0,0
CCCCCCCCCCCCS,1,1,0,0,0
CCCCCCCCCCCCO,1,1,0,0,0
CCCCCCCCCCC=C,0,1,0,0,0
CCCCCC=C,0,1,0,0,0
CCCCC=C,1,1,0,0,0
C1=CC=C2C(=C1)C=CC=C2N,1,1,0,0,0
CCCCCCCC=C,0,1,0,0,0
CCCCCCCCCCCCCCCCCCO,0,0,0,0,0
CC(=O)CC(=O)OC,1,1,0,0,0
CCCCCCC=C,1,1,0,0,0
CCCCCCCCCCCCC=C,0,1,0,0,0
C1CNCCN1,1,1,0,0,0
C(=O)(C(=O)O)O,1,1,0,0,0
CC(CCl)Cl,1,1,0,0,0
C1=CC(=C(C=C1Cl)Cl)Cl,1,1,0,0,0
CC(=O)OO,1,1,1,0,0
CN1CCCC1C2=CN=CC=C2,1,1,0,0,0
C1=CC=C(C=C1)NC2=CC=CC=C2,1,1,0,0,0
C(C=CCl)Cl,1,1,0,0,0
C1=CC(=O)C=CC1=O,1,1,1,0,0
C(CCO)CO,1,1,0,0,0
C1=CC=C(C=C1)NN,1,1,0,0,0
CCCCC(CC)CO,1,1,0,0,0
CCCC=C(CC)C=O,1,1,1,0,0
CCCCC(CC)COC(=O)C=C,1,1,1,0,0
CCCCCC(=O)C,1,1,0,0,0
C=CC(=O)OCCO,1,1,1,0,0
CCCC(C)C,1,1,0,0,0
CC(CC(C)(C)O)O,1,1,0,0,0
CNCCO,1,1,0,0,0
CCCC(C)C=O,1,1,1,0,0
CC(C)[N+](=O)[O-],1,1,1,1,0
CC(C)C(C(C)(C)CO)O,0,1,0,0,0
C1=CC(=C(C=C1Cl)Cl)O,0,1,0,0,0
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])N,1,1,1,0,0
CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],1,1,1,0,0
CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,1,1,0,0,0
CC(=C)CCl,1,1,0,0,0
CC(=O)CC(C)(C)O,1,1,0,0,0
CC(C)CC(C)O,1,1,0,0,0
CC(C)CC(C)OC(=O)C,0,1,0,0,0
C1=CC(=CC=C1N)[N+](=O)[O-],1,1,1,1,0
CC1=CC=C(C=C1)[N+](=O)[O-],1,1,1,0,0
CC(=C)C(=O)C,1,0,0,0,0
CN=C=O,1,1,1,1,0
CNN,1,1,1,1,0
CN(C)C1=CC=CC=C1,1,1,0,0,0
CCC(=O)O,1,1,0,0,0
CCC=O,1,1,1,1,0
CC(=CC(=O)C)C,1,1,1,0,0
CCC(=O)OC(=O)CC,1,1,1,0,0
CCCCCCCCC=CCCCCCCCC(=O)O,1,1,0,0,0
C1=CC(=C(C=C1N)Cl)Cl,1,1,0,0,0
C1=CC(=CC(=C1)Cl)[N+](=O)[O-],1,1,0,0,0
C1=CC=C(C=C1)C2=CC=CC=C2N,1,1,0,0,0
CC(C)(C)OOC(C)(C)C,1,1,1,0,1
CN(C)CCO,1,1,0,0,0
C=COCCCl,1,1,1,1,0
CCOC(=O)C(=C)C,1,1,1,0,0
C(CCl)OCOCCCl,1,1,0,0,0
C1=CC=C(C(=C1)C(=O)O)C(=O)O,1,1,0,0,0
C(C(CCl)Cl)Cl,1,1,1,0,0
CC(CCl)O,1,1,0,0,0
CCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC,1,1,0,0,0
CC(C)([N+](=O)[O-])Cl,0,1,1,0,0
C1=CC(=CC=C1O)Cl,1,1,0,0,0
C1=CC=C(C(=C1)O)Cl,1,1,0,0,0
C=CC(=O)O,1,1,1,0,0
C1=CC=C(C(=C1)O)O,1,1,0,0,0
CC(=C)CC(C)(C)C,1,1,0,0,0
CC(=CCCl)Cl,1,1,0,0,0
CC(C(C)O)O,1,1,0,0,0
CCC(CO)O,1,1,0,0,0
CCC([N+](=O)[O-])Cl,0,1,1,0,0
C(#N)N,1,1,1,0,0
CC([N+](=O)[O-])(Cl)Cl,1,1,1,0,0
CCOP(=S)(OCC)OC1=CC=C(C=C1)S(=O)C,1,1,1,1,0
C(C(Br)Br)(Br)Br,1,0,1,0,0
COC1=CC=C(C=C1)N,1,1,0,0,0
CCC(C)S,1,1,0,0,0
CC(C)(C)S,1,1,1,0,0
C=CC(=C)Cl,1,1,0,0,0
C1CCC=CC1,1,1,0,0,0
COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)OC)N,0,1,0,0,0
CCOC(C)OCC,1,1,0,0,0
CCOS(=O)(=O)OCC,1,1,1,0,0
CCN(CC)C1=CC=CC=C1,1,1,0,0,0
COC(=O)C1=CC=CC=C1C(=O)OC,1,1,0,0,0
CCN1CCOCC1,1,1,0,0,0
C(=O)O,1,1,0,0,0
CC1CCO1,1,1,1,1,0
C1=CC(=CC=C1[N+](=O)[O-])Cl,1,1,1,0,0
C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)C,1,0,0,0,0
CCC,1,1,0,0,0
CCCCOP(=O)(OCCCC)OCCCC,1,1,0,0,0
CCCC(C(CC)CO)O,1,1,0,0,0
CC1OC(OC(OC(O1)C)C)C,1,1,1,0,0
C1=CC=C(C=C1)C2=CC=CC=C2O,1,1,0,0,0
CC1=CCC(CC1)C(=C)C,1,1,0,0,0
CC1=CC=CC=C1O,1,1,0,0,0
CC1=CC=C(C=C1)O,1,1,0,0,0
CC1=CC(=CC=C1)O,1,1,0,0,0
CCCCC(=O)CC,1,1,0,0,0
CCCCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCCCC,1,1,0,0,0
CC(C)CCOC(=O)C,1,1,0,0,0
COCOC,1,1,1,1,0
C1=CC(=C(C(=C1C2=C(C(=C(C=C2)Cl)Cl)Cl)Cl)Cl)Cl,1,1,0,0,0
CCCCCC=CCC=CCC=CCC=CCC=CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O,0,1,0,0,0
COC(=O)C1=CC=CC=C1O,1,1,0,0,0
C(C1C(C(C(C(O1)OC2C(OC(C(C2O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])OC3C(C(C(C(O3)CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],1,1,0,0,0
COC1=CC=CC=C1O,1,1,0,0,0
C=C(Cl)Cl,1,1,1,1,0
CCCCCCCCCCCCCCCCCC(=O)O,1,1,0,0,0
CC1=CC=C(C=C1)S(=O)(=O)OC,1,1,0,0,0
CC1=CC=C(C=C1)S(=O)(=O)O,1,1,1,0,0
CC1=CC=CC=C1N,1,1,0,0,0
CC1=CC(=CC=C1)N,1,1,0,0,0
CC1=CC=C(C=C1)N,1,1,0,0,0
C=C1CC(=O)O1,1,1,1,1,0
